CHAMP;CODE;DESIGNATION;IDINTBEN;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;55200006846;Donnée inexistante dans le référentiel;540791;Erreur;55200006846
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;35500006239;Donnée inexistante dans le référentiel;540763;Erreur;35500006239
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70100007298;Donnée inexistante dans le référentiel;540794;Erreur;70100007298
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;34200008415;Donnée inexistante dans le référentiel;540790;Erreur;34200008415
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;41500006858;Donnée inexistante dans le référentiel;540689;Erreur;41500006858
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;41500352134;Donnée inexistante dans le référentiel;540761;Erreur;41500352134
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;12700167538;Donnée inexistante dans le référentiel;540792;Erreur;12700167538
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;12200124347;Donnée inexistante dans le référentiel;540766;Erreur;12200124347
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;12200172810;Donnée inexistante dans le référentiel;540757;Erreur;12200172810
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;35500008571;Donnée inexistante dans le référentiel;540787;Erreur;35500008571
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;15500009603;Donnée inexistante dans le référentiel;540783;Erreur;15500009603
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;55200014436;Donnée inexistante dans le référentiel;540782;Erreur;55200014436
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;10200210017;Donnée inexistante dans le référentiel;540784;Erreur;10200210017
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;35500005989;Donnée inexistante dans le référentiel;540789;Erreur;35500005989
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;12200195525;Donnée inexistante dans le référentiel;540750;Erreur;12200195525
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;35500123524;Donnée inexistante dans le référentiel;540781;Erreur;35500123524
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;91900187501;Donnée inexistante dans le référentiel;540786;Erreur;91900187501
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;12200000884;Donnée inexistante dans le référentiel;540749;Erreur;12200000884
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;61200007283;Donnée inexistante dans le référentiel;540760;Erreur;61200007283
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;12200016925;Donnée inexistante dans le référentiel;540772;Erreur;12200016925
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;61200155008;Donnée inexistante dans le référentiel;540407;Erreur;61200155008
