"actif";"code";"nom";"participant";"libelle"
"false";"002";"MUFFA ET MC2";"GN/108";"MUFFA COLEAH"
"false";"003";"MUFFA ET MC2";"GN/108";"MUFFA COMMUNE DE RATOMA"
"false";"004";"MUFFA ET MC2";"GN/108";"MUFFA COMMUNE DE MATOTO"
"false";"005";"MUFFA ET MC2";"GN/108";"MUFFA COMMUNE DE DIXINN"
"false";"006";"MUFFA ET MC2";"GN/108";"MUFFA FORECARIAH"
"false";"007";"MUFFA ET MC2";"GN/108";"MC2 BATE SOILA"
"false";"008";"MUFFA ET MC2";"GN/108";"MUFFA COMMUNE DE KALOUM"
"false";"009";"MUFFA ET MC2";"GN/108";"MUFFA COMMUNE DE FARANAH"
"false";"010";"MUFFA ET MC2";"GN/108";"MUFFA MACENTA"
"false";"011";"MUFFA ET MC2";"GN/108";"MC2 COMMUNE DE DUBREKA"
"false";"012";"MUFFA ET MC2";"GN/108";"MUFFA LABE"
"false";"013";"MUFFA ET MC2";"GN/108";"MC2 LABE"
"false";"014";"MUFFA ET MC2";"GN/108";"MUFFA PREFECTURE DE DINGUIRAYE"
"false";"015";"MUFFA ET MC2";"GN/108";"MC2 DE BARO"
"false";"016";"MUFFA ET MC2";"GN/108";"MC2 TIMBI MADINA"
"false";"017";"MUFFA ET MC2";"GN/108";"MUFFA NABAYA KANKAN"
"false";"018";"MUFFA ET MC2";"GN/108";"MUFFA DALABA"
"false";"019";"MUFFA ET MC2";"GN/108";"MC2 MACENTA"
"false";"020";"MUFFA ET MC2";"GN/108";"MUFFA COMMUNE DE YOMOU"
"false";"021";"MUFFA ET MC2";"GN/108";"MC2 YOMOU"
"false";"022";"MUFFA ET MC2";"GN/108";"MUFFA KAMSAR"
"false";"023";"MUFFA ET MC2";"GN/108";"MUFFA COMMUNE DE DUBREKA"
"false";"024";"MUFFA ET MC2";"GN/108";"MC2 SOUS PREFECTURE DE MANEAH"
"false";"025";"MUFFA ET MC2";"GN/108";"MUFFA GUECKEDOU"
